t,year,epi_week,year_week,reported_cases,reported_deaths,mcv1,mcv2,dropout_model,sia_active,sia_coverage_weekly,sia_coverage_total,sia_age_group,line_list_cases,line_list_deaths,median_age_years,mean_reporting_delay_days,specimen_tested_cases,lab_confirmed_cases,confirmed_lab_or_epi_cases,national_model_quality_flag,usable_for_initial_national_model,national_population,births,weekly_births,crude_death_rate,weekly_mortality_rate,has_demography,demographic_quality_flag
23,2020,23,2020-W23,295,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,6,0,5,38.75,6,6,6,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
24,2020,24,2020-W24,423,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,7,0,6,42.285714285714285,7,7,7,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
25,2020,25,2020-W25,192,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
26,2020,26,2020-W26,81,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,2,0,5.333333333333333,2,2,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
27,2020,27,2020-W27,111,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,TRUE,0.5,1,9–59 months,1,0,2,8,1,1,1,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
28,2020,28,2020-W28,91,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,TRUE,0.5,1,9–59 months,4,0,2.5,2.75,4,2,2,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
29,2020,29,2020-W29,102,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,3,0,2,3.3333333333333335,3,1,1,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
30,2020,30,2020-W30,138,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,10,0,5.5,2.2,10,7,7,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
31,2020,31,2020-W31,40,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,2,0,8.416666666666666,4,2,2,2,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
32,2020,32,2020-W32,48,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,2,0,12.5,18,2,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
33,2020,33,2020-W33,48,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,2,0,6,4,2,2,2,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
34,2020,34,2020-W34,138,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
35,2020,35,2020-W35,84,4,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
36,2020,36,2020-W36,44,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,1,0,1.25,0,1,1,1,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
37,2020,37,2020-W37,45,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
38,2020,38,2020-W38,35,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,3,0,5,2.6666666666666665,3,2,2,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
39,2020,39,2020-W39,35,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,2,0,1.9166666666666667,6.5,2,1,1,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
40,2020,40,2020-W40,41,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
41,2020,41,2020-W41,42,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,1,0,5,2,1,1,1,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
42,2020,42,2020-W42,24,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,4,0,5,6,4,3,3,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
43,2020,43,2020-W43,23,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
44,2020,44,2020-W44,19,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
45,2020,45,2020-W45,9,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
46,2020,46,2020-W46,10,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
47,2020,47,2020-W47,7,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
48,2020,48,2020-W48,15,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,8,0,6.5,3.125,8,8,8,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
49,2020,49,2020-W49,25,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,6,0,5.5,5.166666666666667,6,5,5,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
50,2020,50,2020-W50,16,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,13,0,2,4.5,8,6,11,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
51,2020,51,2020-W51,19,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,8,0,3,4,1,1,8,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
52,2020,52,2020-W52,20,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,8,0,3.5,2,4,3,7,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
53,2020,53,2020-W53,21,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,0,0,NA,NA,0,0,0,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
54,2021,1,2021-W01,32,1,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,6,0,4,3.75,4,4,6,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
55,2021,2,2021-W02,39,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,15,0,4,2.5,3,3,15,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
56,2021,3,2021-W03,95,5,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,25,0,6.166666666666667,4.85,20,16,21,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
57,2021,4,2021-W04,49,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,15,0,5,6.625,8,8,15,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
58,2021,5,2021-W05,81,3,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,31,0,4,3.631578947368421,19,18,30,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
59,2021,6,2021-W06,58,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,17,1,4.333333333333333,6.461538461538462,13,11,15,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
60,2021,7,2021-W07,77,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,29,0,4,6.545454545454546,11,11,29,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
61,2021,8,2021-W08,54,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,44,0,4,5.5,8,7,43,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
62,2021,9,2021-W09,51,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,36,0,6.5,6.4,10,9,35,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
63,2021,10,2021-W10,98,2,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,65,0,7,8.764705882352942,17,14,62,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
64,2021,11,2021-W11,60,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,57,1,7,6.8125,16,15,56,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
65,2021,12,2021-W12,128,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,100,1,8,4.0588235294117645,17,14,97,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
66,2021,13,2021-W13,151,2,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,62,0,12.5,4.266666666666667,15,14,61,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
67,2021,14,2021-W14,52,1,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,37,0,9,5.666666666666667,3,2,36,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
68,2021,15,2021-W15,63,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,41,0,8,4.555555555555555,9,6,38,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
69,2021,16,2021-W16,45,1,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,10,0,6,5,6,5,9,contains_geo_week_deaths_exceed_cases,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
70,2021,17,2021-W17,26,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,8,0,6,14.333333333333334,3,3,8,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
71,2021,18,2021-W18,36,1,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,9,0,7,6.571428571428571,7,5,7,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
72,2021,19,2021-W19,36,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,12,0,8,5.363636363636363,11,9,10,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
73,2021,20,2021-W20,39,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,7,0,14,4.857142857142857,7,6,6,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
74,2021,21,2021-W21,43,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,9,0,7,5,7,4,6,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
75,2021,22,2021-W22,50,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,12,0,4,6,12,11,11,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
76,2021,23,2021-W23,42,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,9,0,10,8.375,8,7,8,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
77,2021,24,2021-W24,42,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,29,0,8,6.294117647058823,17,14,26,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
78,2021,25,2021-W25,81,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,73,0,3,5.1,10,9,72,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
79,2021,26,2021-W26,36,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,27,0,2,6.1,10,9,26,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
80,2021,27,2021-W27,29,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,29,1,3,5.833333333333333,6,5,28,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
81,2021,28,2021-W28,25,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,49,2,6,8.666666666666666,3,2,48,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
82,2021,29,2021-W29,25,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,110,4,7,6,5,5,110,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
83,2021,30,2021-W30,30,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,32,1,4.5,7.444444444444445,9,7,30,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
84,2021,31,2021-W31,27,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,45,0,7,4.666666666666667,9,9,45,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
85,2021,32,2021-W32,30,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,66,1,12,3.6666666666666665,12,12,66,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
86,2021,33,2021-W33,39,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,59,2,11,6.7,10,10,59,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
87,2021,34,2021-W34,48,1,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,60,0,18,6.25,8,8,60,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
88,2021,35,2021-W35,79,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,33,1,14,5.625,8,8,33,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
89,2021,36,2021-W36,33,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,24,0,6.5,7.363636363636363,11,10,23,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
90,2021,37,2021-W37,28,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,14,0,1.2916666666666667,4.909090909090909,11,11,14,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
91,2021,38,2021-W38,50,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,15,0,1,5,15,15,15,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
92,2021,39,2021-W39,50,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,32,0,1.7916666666666667,6.068965517241379,29,29,32,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
93,2021,40,2021-W40,43,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,40,0,4.5,6.6,15,13,38,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
94,2021,41,2021-W41,22,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,56,0,4,9.22222222222222,9,8,55,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
95,2021,42,2021-W42,45,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,38,0,5,5.769230769230769,13,13,38,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
96,2021,43,2021-W43,74,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,30,1,3,4.3,10,9,29,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
97,2021,44,2021-W44,37,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,23,0,6,2,5,5,23,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
98,2021,45,2021-W45,38,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,24,0,7,11.857142857142858,7,6,23,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
99,2021,46,2021-W46,35,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,7,1,5.5,3.6666666666666665,6,6,7,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
