region,zone,woreda,geo_id,year,epi_week,year_week,measles_cases,measles_deaths,flag_deaths_gt_cases,surveillance_quality_flag
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,18,2020-W18,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,19,2020-W19,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,20,2020-W20,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,21,2020-W21,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,22,2020-W22,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,23,2020-W23,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,24,2020-W24,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,25,2020-W25,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,26,2020-W26,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,27,2020-W27,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,28,2020-W28,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,29,2020-W29,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,30,2020-W30,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,31,2020-W31,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,32,2020-W32,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,33,2020-W33,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,34,2020-W34,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,35,2020-W35,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,36,2020-W36,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,37,2020-W37,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,38,2020-W38,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,39,2020-W39,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,40,2020-W40,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,41,2020-W41,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,42,2020-W42,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,43,2020-W43,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,44,2020-W44,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,45,2020-W45,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,46,2020-W46,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,47,2020-W47,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,48,2020-W48,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,49,2020-W49,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,50,2020-W50,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,51,2020-W51,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,52,2020-W52,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,53,2020-W53,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,1,2021-W01,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,2,2021-W02,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,3,2021-W03,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,4,2021-W04,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,5,2021-W05,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,6,2021-W06,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,7,2021-W07,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,8,2021-W08,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,9,2021-W09,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,10,2021-W10,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,11,2021-W11,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,12,2021-W12,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,13,2021-W13,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,14,2021-W14,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,15,2021-W15,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,16,2021-W16,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,17,2021-W17,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,18,2021-W18,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,19,2021-W19,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,20,2021-W20,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,21,2021-W21,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,22,2021-W22,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,23,2021-W23,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,24,2021-W24,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,25,2021-W25,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,26,2021-W26,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,27,2021-W27,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,28,2021-W28,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,29,2021-W29,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,30,2021-W30,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,31,2021-W31,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,32,2021-W32,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,33,2021-W33,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,34,2021-W34,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,35,2021-W35,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,36,2021-W36,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,37,2021-W37,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,38,2021-W38,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,39,2021-W39,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,40,2021-W40,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,41,2021-W41,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,42,2021-W42,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,43,2021-W43,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,44,2021-W44,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,45,2021-W45,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,46,2021-W46,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,47,2021-W47,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,48,2021-W48,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,49,2021-W49,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,50,2021-W50,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,51,2021-W51,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2021,52,2021-W52,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,1,2022-W01,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,2,2022-W02,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,3,2022-W03,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,4,2022-W04,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,5,2022-W05,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,6,2022-W06,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,7,2022-W07,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,8,2022-W08,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,9,2022-W09,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,10,2022-W10,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,11,2022-W11,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,12,2022-W12,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,13,2022-W13,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,14,2022-W14,7,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,15,2022-W15,12,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,16,2022-W16,16,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,17,2022-W17,8,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,18,2022-W18,9,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,19,2022-W19,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,20,2022-W20,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,21,2022-W21,15,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,22,2022-W22,12,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,23,2022-W23,8,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,24,2022-W24,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,25,2022-W25,8,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,26,2022-W26,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,27,2022-W27,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,28,2022-W28,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,29,2022-W29,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,30,2022-W30,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,31,2022-W31,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,32,2022-W32,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,33,2022-W33,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,34,2022-W34,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,35,2022-W35,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,36,2022-W36,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,37,2022-W37,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,38,2022-W38,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,39,2022-W39,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,40,2022-W40,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,41,2022-W41,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,42,2022-W42,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,43,2022-W43,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,44,2022-W44,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,45,2022-W45,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,46,2022-W46,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,47,2022-W47,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,48,2022-W48,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,49,2022-W49,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,50,2022-W50,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,51,2022-W51,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2022,52,2022-W52,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,1,2023-W01,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,2,2023-W02,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,3,2023-W03,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,4,2023-W04,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,5,2023-W05,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,6,2023-W06,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,7,2023-W07,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,8,2023-W08,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,9,2023-W09,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,10,2023-W10,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,11,2023-W11,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,12,2023-W12,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,13,2023-W13,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,14,2023-W14,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,15,2023-W15,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,16,2023-W16,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,17,2023-W17,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,18,2023-W18,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,19,2023-W19,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,20,2023-W20,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,21,2023-W21,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,22,2023-W22,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,23,2023-W23,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,24,2023-W24,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,25,2023-W25,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,26,2023-W26,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,27,2023-W27,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,28,2023-W28,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,29,2023-W29,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,30,2023-W30,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,31,2023-W31,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,32,2023-W32,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,33,2023-W33,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,34,2023-W34,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,35,2023-W35,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,36,2023-W36,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,37,2023-W37,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,38,2023-W38,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,39,2023-W39,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,40,2023-W40,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,41,2023-W41,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,42,2023-W42,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,43,2023-W43,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,44,2023-W44,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,45,2023-W45,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,46,2023-W46,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,47,2023-W47,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,48,2023-W48,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,49,2023-W49,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,50,2023-W50,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,51,2023-W51,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2023,52,2023-W52,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,1,2024-W01,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,2,2024-W02,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,3,2024-W03,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,4,2024-W04,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,5,2024-W05,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,6,2024-W06,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,7,2024-W07,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,9,2024-W09,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,10,2024-W10,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,11,2024-W11,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,13,2024-W13,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,14,2024-W14,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,15,2024-W15,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,16,2024-W16,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,17,2024-W17,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,18,2024-W18,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,19,2024-W19,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,20,2024-W20,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,21,2024-W21,7,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,25,2024-W25,12,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,26,2024-W26,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,27,2024-W27,7,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,28,2024-W28,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,29,2024-W29,6,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,30,2024-W30,5,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2024,31,2024-W31,6,0,FALSE,ok
